=== LSOF FOR ALL MODEM PROCESSES ===
==============================================
--- LSOF for time_daemon (PID 242) ---
==============================================
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
netd        195       root   27       ???                ???       ???        ??? pipe:[8634]
netd        195       root   28       ???                ???       ???        ??? socket:[10233]
netd        195       root   29       ???                ???       ???        ??? socket:[10238]
netd        195       root   30       ???                ???       ???        ??? /dev/log/main
netd        195       root   31       ???                ???       ???        ??? /dev/log/radio
netd        195       root   32       ???                ???       ???        ??? /dev/log/events
netd        195       root   33       ???                ???       ???        ??? /dev/log/system
netd        195       root   34       ???                ???       ???        ??? /sys/class/net
netd        195       root   35       ???                ???       ???        ??? socket:[8961]
netd        195       root   36       ???                ???       ???        ??? socket:[15594]
netd        195       root   37       ???                ???       ???        ??? pipe:[10714]
debuggerd   196       root  exe       ???                ???       ???        ??? /system/bin/debuggerd
debuggerd   196       root    0       ???                ???       ???        ??? /dev/null
debuggerd   196       root    1       ???                ???       ???        ??? /dev/null
debuggerd   196       root    2       ???                ???       ???        ??? /dev/null
debuggerd   196       root    3       ???                ???       ???        ??? socket:[9923]
debuggerd   196       root    4       ???                ???       ???        ??? /dev/log/main
debuggerd   196       root    5       ???                ???       ???        ??? /dev/log/radio
debuggerd   196       root    6       ???                ???       ???        ??? /dev/log/events
debuggerd   196       root    7       ???                ???       ???        ??? /dev/log/system
debuggerd   196       root    8       ???                ???       ???        ??? /dev/__properties__
debuggerd   196       root  mem       ???              b3:17         0       1109 /system/lib/libstlport.so
debuggerd   196       root  mem       ???              b3:17    200704       1109 /system/lib/libstlport.so
debuggerd   196       root  mem       ???              b3:17    208896       1109 /system/lib/libstlport.so
debuggerd   196       root  mem       ???              b3:17         0        948 /system/lib/libcnefeatureconfig.so
debuggerd   196       root  mem       ???              b3:17         0        948 /system/lib/libcnefeatureconfig.so
debuggerd   196       root  mem       ???              b3:17      4096        948 /system/lib/libcnefeatureconfig.so
debuggerd   196       root  mem       ???              b3:17         0       1953 /system/vendor/lib/libcneconn.so
debuggerd   196       root  mem       ???              b3:17     36864       1953 /system/vendor/lib/libcneconn.so
debuggerd   196       root  mem       ???              b3:17     40960       1953 /system/vendor/lib/libcneconn.so
debuggerd   196       root  mem       ???              00:0c         0       7175 /dev/__properties__
debuggerd   196       root  mem       ???              b3:17         0       1068 /system/lib/libselinux.so
rild        197      radio  exe       ???                ???       ???        ??? /system/bin/rild
rild        197      radio    0       ???                ???       ???        ??? /dev/null
rild        197      radio    1       ???                ???       ???        ??? /dev/null
rild        197      radio    2       ???                ???       ???        ??? /dev/null
rild        197      radio    3       ???                ???       ???        ??? /dev/log/main
rild        197      radio    4       ???                ???       ???        ??? /dev/log/radio
rild        197      radio    5       ???                ???       ???        ??? /dev/log/events
rild        197      radio    6       ???                ???       ???        ??? /dev/log/system
rild        197      radio    7       ???                ???       ???        ??? pipe:[10055]
rild        197      radio    8       ???                ???       ???        ??? /dev/__properties__
rild        197      radio    9       ???                ???       ???        ??? socket:[6468]
rild        197      radio   10       ???                ???       ???        ??? socket:[6471]
rild        197      radio   11       ???                ???       ???        ??? pipe:[10055]
rild        197      radio   12       ???                ???       ???        ??? /dev/diag
rild        197      radio   13       ???                ???       ???        ??? /dev/log/main
rild        197      radio   14       ???                ???       ???        ??? /dev/log/radio
rild        197      radio   15       ???                ???       ???        ??? /dev/log/events
rild        197      radio   16       ???                ???       ???        ??? /dev/log/system
rild        197      radio   17       ???                ???       ???        ??? pipe:[8448]
rild        197      radio   18       ???                ???       ???        ??? pipe:[8448]
rild        197      radio   19       ???                ???       ???        ??? /data/misc/radio/qcril.db
rild        197      radio   20       ???                ???       ???        ??? /sys/power/wake_lock
rild        197      radio   21       ???                ???       ???        ??? /sys/power/wake_unlock
rild        197      radio   22       ???                ???       ???        ??? /dev/binder
rild        197      radio   23       ???                ???       ???        ??? /dev/cpuctl/apps/tasks
rild        197      radio   24       ???                ???       ???        ??? /dev/cpuctl/apps/bg_non_interactive/tasks
rild        197      radio   25       ???                ???       ???        ??? pipe:[7647]
rild        197      radio   26       ???                ???       ???        ??? pipe:[7647]
rild        197      radio   27       ???                ???       ???        ??? socket:[7648]
rild        197      radio   28       ???                ???       ???        ??? socket:[7720]
rild        197      radio   29       ???                ???       ???        ??? pipe:[7723]
rild        197      radio   30       ???                ???       ???        ??? pipe:[7723]
rild        197      radio   31       ???                ???       ???        ??? socket:[8593]
rild        197      radio   32       ???                ???       ???        ??? /dev/alarm
rild        197      radio   34       ???                ???       ???        ??? socket:[7752]
rild        197      radio   35       ???                ???       ???        ??? pipe:[7755]
rild        197      radio   36       ???                ???       ???        ??? pipe:[7755]
rild        197      radio   37       ???                ???       ???        ??? socket:[7756]
